Country or Area,Year,Value
Albania,2017,1.3
Albania,2016,0.9
Albania,2015,1.1
Albania,2014,1.6
Albania,2012,0.8
Albania,2008,0.3
Albania,2005,0.9
Albania,2002,1.6
Albania,1996,0.9
Algeria,2011,0.4
Algeria,1995,5.6
Algeria,1988,6.3
Angola,2018,49.9
Angola,2008,34.4
Angola,2000,36.4
Argentina,2019,1.5
Argentina,2018,1.4
Argentina,2017,0.9
Argentina,2016,1.1
Argentina,2014,0.9
Argentina,2013,1
Argentina,2012,1.2
Argentina,2011,1.1
Argentina,2010,1.4
Argentina,2009,2.3
Argentina,2008,2.5
Argentina,2007,2.6
Argentina,2006,3.3
Argentina,2005,4.2
Argentina,2004,5.7
Argentina,2003,7.9
Argentina,2002,16.9
Argentina,2001,10.7
Argentina,2000,6.8
Argentina,1999,5.5
Argentina,1998,5.6
Argentina,1997,4.8
Argentina,1996,5.3
Argentina,1995,4.9
Argentina,1994,2.7
Argentina,1993,2.8
Argentina,1992,2.5
Argentina,1991,1.3
Argentina,1987,1.4
Argentina,1986,1.2
Argentina,1980,0.5
Armenia,2019,1.1
Armenia,2018,1.4
Armenia,2017,0.9
Armenia,2016,1.2
Armenia,2015,1.3
Armenia,2014,1.5
Armenia,2013,1.8
Armenia,2012,0.9
Armenia,2011,1.2
Armenia,2010,1
Armenia,2009,1.3
Armenia,2008,0.9
Armenia,2007,1.6
Armenia,2006,2.1
Armenia,2005,2.7
Armenia,2004,5.5
Armenia,2003,7.9
Armenia,2002,10.5
Armenia,2001,14.4
Armenia,1999,12.2
Australia,2014,0.5
Australia,2010,0.3
Australia,2008,0.4
Australia,2004,0.5
Australia,2003,1
Australia,2001,0.7
Australia,1995,1
Australia,1989,0.7
Australia,1985,1
Australia,1981,1
Austria,2018,0.6
Austria,2017,0.3
Austria,2016,0.7
Austria,2015,0.7
Austria,2014,0.2
Austria,2013,0.3
Austria,2012,0.6
Austria,2011,0.4
Austria,2010,0.5
Austria,2009,0.7
Austria,2008,0.5
Austria,2007,0.4
Austria,2006,0.1
