Country Name,Country Code,Time,Time Code,"Use of IMF credit (DOD, current US$) [DT.DOD.DIMF.CD]","Net financial flows, IMF concessional (NFL, current US$) [DT.NFL.IMFC.CD]","Net financial flows, IMF nonconcessional (NFL, current US$) [DT.NFL.IMFN.CD]","IMF repurchases and charges (TDS, current US$) [DT.TDS.DIMF.CD]"
Afghanistan,AFG,1990,YR1990,..,..,..,..
Afghanistan,AFG,1991,YR1991,..,..,..,..
Afghanistan,AFG,1992,YR1992,..,..,..,..
Afghanistan,AFG,1993,YR1993,..,..,..,..
Afghanistan,AFG,1994,YR1994,..,..,..,..
Afghanistan,AFG,1995,YR1995,..,..,..,..
Afghanistan,AFG,1996,YR1996,..,..,..,..
Afghanistan,AFG,1997,YR1997,..,..,..,..
Afghanistan,AFG,1998,YR1998,..,..,..,..
Afghanistan,AFG,1999,YR1999,..,..,..,..
Afghanistan,AFG,2000,YR2000,..,..,..,..
Afghanistan,AFG,2001,YR2001,..,..,..,..
Afghanistan,AFG,2002,YR2002,..,..,..,..
Afghanistan,AFG,2003,YR2003,..,..,..,..
Afghanistan,AFG,2004,YR2004,..,..,..,..
Afghanistan,AFG,2005,YR2005,..,..,..,..
Afghanistan,AFG,2006,YR2006,40171993.2,..,..,1635000.1
Afghanistan,AFG,2007,YR2007,98770365.8,..,54805961.8,1640636.9
Afghanistan,AFG,2008,YR2008,131081597.8,..,35725075,738776.5
Afghanistan,AFG,2009,YR2009,352752616.2,..,17430052.1,1069033.8
Afghanistan,AFG,2010,YR2010,355229891.1,..,8621518.8,777611.1
Afghanistan,AFG,2011,YR2011,372555169.2,..,18921223.8,261961.8
Afghanistan,AFG,2012,YR2012,387633151.2,..,14588311.2,3813727.1
Afghanistan,AFG,2013,YR2013,375643371.2,..,-12646380.9,12954392
Afghanistan,AFG,2014,YR2014,334839124.6,..,-19466483.6,19585014.9
Afghanistan,AFG,2015,YR2015,300161714.8,..,-20294302.7,20403434.4
Afghanistan,AFG,2016,YR2016,276984771.4,..,-14692918.6,21130279.7
Afghanistan,AFG,2017,YR2017,284853905.2,..,-8348165.6,20943911
Afghanistan,AFG,2018,YR2018,274596496.6,..,-3653357.7,16605785.1
Afghanistan,AFG,2019,YR2019,276923268.4,..,3896346.9,11886621.3
Afghanistan,AFG,2020,YR2020,628740557.2,..,329160873.4,9823909.6
Albania,ALB,1990,YR1990,..,..,..,..
Albania,ALB,1991,YR1991,..,..,..,..
Albania,ALB,1992,YR1992,13321000,13646638.1,..,102828.7
Albania,ALB,1993,YR1993,29662027.2,4800797.4,11827444.4,939772.2
Albania,ALB,1994,YR1994,54196929.5,..,22239931.2,1082639.3
Albania,ALB,1995,YR1995,64519612.4,-1184962.5,10711696.6,2467028.1
Albania,ALB,1996,YR1996,54212531.1,-8279530,..,9195606.4
Albania,ALB,1997,YR1997,54973840.3,4188818,..,8447816.7
Albania,ALB,1998,YR1998,64445534.6,-1165471.9,7984635.5,1963257.1
Albania,ALB,1999,YR1999,144308798.7,..,17669446,6716604.7
Albania,ALB,2000,YR2000,148425240.2,..,11575587.9,10900180
Albania,ALB,2001,YR2001,141638824.6,-5618157.2,4071349.8,15676658.4
Albania,ALB,2002,YR2002,144218235.1,-5714250.3,-2864246.9,15406592.4
Albania,ALB,2003,YR2003,159415248,..,1677161.2,10962772
Albania,ALB,2004,YR2004,169099897.6,..,2380112.1,11475513
Albania,ALB,2005,YR2005,158243429,..,2705009.5,11668685.7
Albania,ALB,2006,YR2006,162459042.7,3582877.3,-7595405.5,14508851.3
Albania,ALB,2007,YR2007,163478853.7,3727723.9,-10674915.4,17569442.5
Albania,ALB,2008,YR2008,152026589.8,3849139.7,-11357728.5,16578793.4
Albania,ALB,2009,YR2009,144309407.5,1878743.7,-12134709.7,14689957.7
Albania,ALB,2010,YR2010,129370620.5,-154119.2,-12123533.9,12677468.9
Albania,ALB,2011,YR2011,117241292.8,-799421.7,-11247090.8,12309340.1
Albania,ALB,2012,YR2012,107036119.1,-1394673.1,-8873664.9,10419468.5
Albania,ALB,2013,YR2013,96755520.4,-2012132.3,-8384138.7,10593648.1
Albania,ALB,2014,YR2014,150856823.2,69416781.4,-6660546.3,9265195.2
Albania,ALB,2015,YR2015,243583720.9,104318732.3,-4064457,7509101.9
Albania,ALB,2016,YR2016,387084198.2,158106646.5,-2200462.6,6777925.3
Albania,ALB,2017,YR2017,488777110.1,78166286.7,-1519865.4,9112258.5
Albania,ALB,2018,YR2018,470321203.4,-6275845.5,-862362.3,16046453.2
Albania,ALB,2019,YR2019,447707759.2,-19734582.4,-168565.4,29509991.7
Albania,ALB,2020,YR2020,627019436.4,155446791.9,..,47680509.6
Algeria,DZA,1990,YR1990,669930594,..,..,61767303.2
Algeria,DZA,1991,YR1991,995436275,..,307923187.3,58857122.3
Algeria,DZA,1992,YR1992,794990625,..,-165828908.9,235279140.6
Algeria,DZA,1993,YR1993,470753334.5,..,-328780612.8,370767342.3
Algeria,DZA,1994,YR1994,1158785097.7,..,645924646.7,226387606.1
Algeria,DZA,1995,YR1995,1477675125.4,..,303902668.1,239605178
Algeria,DZA,1996,YR1996,2031176058.9,..,607528480.6,211439423.3
Algeria,DZA,1997,YR1997,2017823552.4,..,114181069.4,443356939.1
Algeria,DZA,1998,YR1998,2010716168.3,..,-91555344.9,533834957.3
Algeria,DZA,1999,YR1999,2082628769.3,..,-53722117,443887178.5
Algeria,DZA,2000,YR2000,1885510115.2,..,-92637678.2,192312216.4
Algeria,DZA,2001,YR2001,1679854653.5,..,-140634709.2,220590866.1
Algeria,DZA,2002,YR2002,1505040301.8,..,-297363731.6,343701475.1
Algeria,DZA,2003,YR2003,1178931448.8,..,-438751804.4,465383065.2
Algeria,DZA,2004,YR2004,842694286.2,..,-371622044.4,397500662.2
Algeria,DZA,2005,YR2005,183861292.8,..,-611589213.2,635443770.1
Algeria,DZA,2006,YR2006,193526016,..,0,8832923.7
Algeria,DZA,2007,YR2007,203283360,..,..,6952290.9
Algeria,DZA,2008,YR2008,198140332.8,..,..,1624750.8
Algeria,DZA,2009,YR2009,1878382595.6,..,..,4320280
Algeria,DZA,2010,YR2010,1845240799.3,..,..,5904770.6
Algeria,DZA,2011,YR2011,1839537438.9,..,..,2020926.4
Algeria,DZA,2012,YR2012,1841514444.1,..,..,549094.1
Algeria,DZA,2013,YR2013,1845204853.8,..,..,2376177.9
Algeria,DZA,2014,YR2014,1735936449.6,..,0,910259.5
Algeria,DZA,2015,YR2015,1660361592.5,..,..,839474.8
Algeria,DZA,2016,YR2016,1610758149.3,..,..,1406739.2
Algeria,DZA,2017,YR2017,1706376276.2,..,..,888899.4
Algeria,DZA,2018,YR2018,1666425596.1,..,..,1602946.1
Algeria,DZA,2019,YR2019,1656880871,..,..,16447557.8
Algeria,DZA,2020,YR2020,1725708072,..,..,5232360.2
American Samoa,ASM,1990,YR1990,..,..,..,..
American Samoa,ASM,1991,YR1991,..,..,..,..
American Samoa,ASM,1992,YR1992,..,..,..,..
American Samoa,ASM,1993,YR1993,..,..,..,..
American Samoa,ASM,1994,YR1994,..,..,..,..
American Samoa,ASM,1995,YR1995,..,..,..,..
American Samoa,ASM,1996,YR1996,..,..,..,..
American Samoa,ASM,1997,YR1997,..,..,..,..
American Samoa,ASM,1998,YR1998,..,..,..,..
American Samoa,ASM,1999,YR1999,..,..,..,..
American Samoa,ASM,2000,YR2000,..,..,..,..
American Samoa,ASM,2001,YR2001,..,..,..,..
American Samoa,ASM,2002,YR2002,..,..,..,..
American Samoa,ASM,2003,YR2003,..,..,..,..
American Samoa,ASM,2004,YR2004,..,..,..,..
American Samoa,ASM,2005,YR2005,..,..,..,..
American Samoa,ASM,2006,YR2006,..,..,..,..
American Samoa,ASM,2007,YR2007,..,..,..,..
American Samoa,ASM,2008,YR2008,..,..,..,..
American Samoa,ASM,2009,YR2009,..,..,..,..
American Samoa,ASM,2010,YR2010,..,..,..,..
American Samoa,ASM,2011,YR2011,..,..,..,..
American Samoa,ASM,2012,YR2012,..,..,..,..
American Samoa,ASM,2013,YR2013,..,..,..,..
American Samoa,ASM,2014,YR2014,..,..,..,..
American Samoa,ASM,2015,YR2015,..,..,..,..
American Samoa,ASM,2016,YR2016,..,..,..,..
American Samoa,ASM,2017,YR2017,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..
American Samoa,ASM,2020,YR2020,..,..,..,..
Andorra,AND,1990,YR1990,..,..,..,..
Andorra,AND,1991,YR1991,..,..,..,..
Andorra,AND,1992,YR1992,..,..,..,..
Andorra,AND,1993,YR1993,..,..,..,..
Andorra,AND,1994,YR1994,..,..,..,..
Andorra,AND,1995,YR1995,..,..,..,..
Andorra,AND,1996,YR1996,..,..,..,..
Andorra,AND,1997,YR1997,..,..,..,..
Andorra,AND,1998,YR1998,..,..,..,..
Andorra,AND,1999,YR1999,..,..,..,..
Andorra,AND,2000,YR2000,..,..,..,..
Andorra,AND,2001,YR2001,..,..,..,..
Andorra,AND,2002,YR2002,..,..,..,..
Andorra,AND,2003,YR2003,..,..,..,..
Andorra,AND,2004,YR2004,..,..,..,..
Andorra,AND,2005,YR2005,..,..,..,..
Andorra,AND,2006,YR2006,..,..,..,..
